"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
5,1,"Jordan Cox","Jordan","IN",32,"IT Manager","Sneinton, Nottingham","Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd",12
5,1,"Kate Henry","Kate","IN",41,"Furniture Restorer","Brighton, East Sussex","Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges",6
5,1,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles",7
5,1,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes",2
5,1,"Nancy Birtwhistle","Nancy","STAR BAKER",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes",1
5,1,"Norman Calder","Norman","IN",66,"Retired Naval Officer","Portknockie, Moray","Black Forest Swiss Roll","Almond and Raspberry Mini Cakes",11
5,1,"Richard Burr","Richard","IN",38,"Builder","Mill Hill, London","Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes",10
5,2,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Fenugreek and Carom Crackers","Day On The Beach",8
5,2,"Diana Beard","Diana","IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Parmesan Triangles","Express, First Class",7
5,2,"Enwezor Nzegwu","Enwezor","OUT",39,"Business Consultant","Portsmouth, Hampshire","Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene",9
5,2,"Iain Watters","Iain","IN",31,"Construction Engineer","London/Belfast","Za'atar and Fig Biscuits","Wild West Scene",11
5,2,"Jordan Cox","Jordan","IN",32,"IT Manager","Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits","Monster Attack",6
5,2,"Kate Henry","Kate","IN",41,"Furniture Restorer","Brighton, East Sussex","Parmesan and Apple Biscuits","Tea Time",4
5,2,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon",3
5,2,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene",5
5,2,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Fennel and Rye Thins","Hansel and Gretel Scene",2
5,2,"Norman Calder","Norman","IN",66,"Retired Naval Officer","Portknockie, Moray","Farthing Biscuits","Zulu Boats at Dawn",10
5,2,"Richard Burr","Richard","STAR BAKER",38,"Builder","Mill Hill, London","Rosemary Seeded Crackers","Pirates!",1
5,2,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,3,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf",8
5,3,"Diana Beard","Diana","IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Rustic Picnic Rolls","Sharing Savoury Pinwheel",7
5,3,"Iain Watters","Iain","IN",31,"Construction Engineer","London/Belfast","Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip",9
5,3,"Jordan Cox","Jordan","OUT",32,"IT Manager","Sneinton, Nottingham","Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche",10
5,3,"Kate Henry","Kate","IN",41,"Furniture Restorer","Brighton, East Sussex","Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread",1
5,3,"Luis Troyano","Luis","STAR BAKER",42,"Graphic Designer","Poynton, Cheshire","Opposites Attract Rolls","Roscón de Reyes",2
5,3,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Date and Walnut Rye Rolls","Stuffed Sunflower Loaf",3
5,3,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Cider and Walnut Crusty Rolls","'Full English' Stromboli",5
5,3,"Norman Calder","Norman","IN",66,"Retired Naval Officer","Portknockie, Moray","Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf",4
5,3,"Richard Burr","Richard","IN",38,"Builder","Mill Hill, London","Rye and Cranberry Rolls","Pesto Pinwheel",6
5,3,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,3,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,4,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3
5,4,"Diana Beard","Diana","IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan",9
5,4,"Iain Watters","Iain","OUT",31,"Construction Engineer","London/Belfast","Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6
5,4,"Kate Henry","Kate","IN",41,"Furniture Restorer","Brighton, East Sussex","Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska",7
5,4,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Pears in Puddings","Bakewell Alaska",2
5,4,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Peanut Butter Chocolate Fondants","Key Lime Baked Alaska",1
5,4,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska",4
5,4,"Norman Calder","Norman","IN",66,"Retired Naval Officer","Portknockie, Moray","Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise",8
5,4,"Richard Burr","Richard","STAR BAKER",38,"Builder","Mill Hill, London","Black Forest Chocolate Fondants","Tiramisu Baked Alaska",5
5,4,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,4,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,4,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,5,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies",2
5,5,"Kate Henry","Kate","STAR BAKER",41,"Furniture Restorer","Brighton, East Sussex","Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies",3
5,5,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Tropical Manchester Tart","Four Fruity Seasons Tower",6
5,5,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie",1
5,5,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies",4
5,5,"Norman Calder","Norman","OUT",66,"Retired Naval Officer","Portknockie, Moray","Tarte au Citron","Pieful Tower",5
5,5,"Richard Burr","Richard","IN",38,"Builder","Mill Hill, London","Fig and Orange Tart","Three Course Autumn Pie Feast",7
5,5,NA,"Diana","WD",NA,NA,NA,NA,NA,NA
5,5,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,5,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,5,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,5,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,6,"Chetna Makan","Chetna","STAR BAKER",35,"Fashion Designer","Broadstairs, Kent","Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream",2
5,6,"Kate Henry","Kate","IN",41,"Furniture Restorer","Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes",6
5,6,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill",3
5,6,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte",4
5,6,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte",1
5,6,"Richard Burr","Richard","IN",38,"Builder","Mill Hill, London","Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte",5
5,6,NA,"Diana","IN",NA,NA,NA,NA,NA,NA
5,6,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,6,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,6,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,6,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,6,NA,"Norman",NA,NA,NA,NA,NA,NA,NA
5,7,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs",6
5,7,"Kate Henry","Kate","OUT",41,"Furniture Restorer","Brighton, East Sussex","Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs",4
5,7,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",5
5,7,"Martha Collison","Martha","IN",17,"Student","Ascot, Berkshire","Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs",3
5,7,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs",2
5,7,"Richard Burr","Richard","STAR BAKER",38,"Builder","Mill Hill, London","Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1
5,7,NA,"Diana","IN",NA,NA,NA,NA,NA,NA
5,7,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,7,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,7,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,7,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,7,NA,"Norman",NA,NA,NA,NA,NA,NA,NA
5,8,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts",1
5,8,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",2
5,8,"Martha Collison","Martha","OUT",17,"Student","Ascot, Berkshire","Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts",5
5,8,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",3
5,8,"Richard Burr","Richard","STAR BAKER",38,"Builder","Mill Hill, London","Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts",4
5,8,NA,"Diana","IN",NA,NA,NA,NA,NA,NA
5,8,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,8,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,8,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,8,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,8,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
5,8,NA,"Norman",NA,NA,NA,NA,NA,NA,NA
5,9,"Chetna Makan","Chetna","OUT",35,"Fashion Designer","Broadstairs, Kent","Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets",4
5,9,"Luis Troyano","Luis","IN",42,"Graphic Designer","Poynton, Cheshire","Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",1
5,9,"Nancy Birtwhistle","Nancy","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets",3
5,9,"Richard Burr","Richard","STAR BAKER",38,"Builder","Mill Hill, London","Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets",2
5,9,NA,"Diana","IN",NA,NA,NA,NA,NA,NA
5,9,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Martha",NA,NA,NA,NA,NA,NA,NA
5,9,NA,"Norman",NA,NA,NA,NA,NA,NA,NA
5,10,"Luis Troyano","Luis","Runner-up",42,"Graphic Designer","Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate",2
5,10,"Nancy Birtwhistle","Nancy","WINNER",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill",1
5,10,"Richard Burr","Richard","Runner-up",38,"Builder","Mill Hill, London","Pear Pain au ChocolatPain Au Lait","Mill on the Hill",3
5,10,NA,"Diana","IN",NA,NA,NA,NA,NA,NA
5,10,NA,"Chetna",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Claire",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Enwezor",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Iain",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Jordan",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Kate",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Martha",NA,NA,NA,NA,NA,NA,NA
5,10,NA,"Norman",NA,NA,NA,NA,NA,NA,NA
6,1,"Alvin Magallanes","Alvin","IN",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",2
6,1,"Dorret Conway","Dorret","IN",53,"Accountant","Penwortham, Lancashire","Madeira Cake with Candied Lemons","Enchanted Forest Gâteau",5
6,1,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Blood Orange Madeira Cake","Black Forest Gâteau",6
6,1,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Somewhere West of Madeira Cake","Black Forest Cherry Tree",8
6,1,"Marie Campbell","Marie","STAR BAKER",66,"Retired","Auchterarder, Perthshire","Zingy Citrus Madeira Cake","A Walk in the Black Forest",3
6,1,"Mat Riley","Mat","IN",37,"Fire fighter","London","Gin and Tonic Madeira Cake","Black Forest Gateau",7
6,1,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau",12
6,1,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation",10
6,1,"Sandy Docherty","Sandy","IN",49,"Child welfare officer","Yeadon, West Yorkshire","Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau",9
6,1,"Stu Henshall","Stu","OUT",35,"Professional musician","Guildford, Surrey","Marley Madeira Cake","Purple Forest Gâteau",11
6,1,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell",4
6,1,"Ugnė Bubnaityte","Ugnė","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","Lemon and Thyme Madeira Cake","Falling Cup Gâteau",1
6,2,"Alvin Magallanes","Alvin","IN",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6
6,2,"Dorret Conway","Dorret","IN",53,"Accountant","Penwortham, Lancashire","Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs",1
6,2,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Wedding Biscotti","Honey and Earl Grey Tea Box",2
6,2,"Ian Cumming","Ian","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture",3
6,2,"Marie Campbell","Marie","OUT",66,"Retired","Auchterarder, Perthshire","Biscotti Italiano","Russian Box",11
6,2,"Mat Riley","Mat","IN",37,"Fire fighter","London","Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine",5
6,2,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Coconut, Fennel and Pistachio Biscotti","Box of Fortunes",9
6,2,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti","Memory Box",10
6,2,"Sandy Docherty","Sandy","IN",49,"Child welfare officer","Yeadon, West Yorkshire","Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box",4
6,2,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Cinnamon, Maple and Cranberry Biscotti","Chessboard Box",8
6,2,"Ugnė Bubnaityte","Ugnė","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","White Wine Biscotti","Baby Climbing into the Cookie Box",7
6,2,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,3,"Alvin Magallanes","Alvin","IN",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",4
6,3,"Dorret Conway","Dorret","OUT",53,"Accountant","Penwortham, Lancashire","Walnut and Stilton Soda Breads","Unmade Bread",6
6,3,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Fig and Hazelnut Rye Breads","Herb Couture",2
6,3,"Ian Cumming","Ian","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Wild Garlic Pesto Soda Breads","Flour Power",1
6,3,"Mat Riley","Mat","IN",37,"Fire fighter","London","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion",8
6,3,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket",9
6,3,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Cranberry and Orange Sweet Soda Breads","King of the Jungle",10
6,3,"Sandy Docherty","Sandy","IN",49,"Child welfare officer","Yeadon, West Yorkshire","Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre",7
6,3,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Fig, Cheese and Walnut Breads","Breadcycle",3
6,3,"Ugnė Bubnaityte","Ugnė","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket",5
6,3,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,3,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,4,"Alvin Magallanes","Alvin","IN",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",9
6,4,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes",3
6,4,"Ian Cumming","Ian","STAR BAKER",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes",4
6,4,"Mat Riley","Mat","IN",37,"Fire fighter","London","Coconut Crème Brûlées","Chocolate Bar Cheesecakes",7
6,4,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes",8
6,4,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Almond Crème Brûlées","Berry Cheesecake Tower",1
6,4,"Sandy Docherty","Sandy","OUT",49,"Child welfare officer","Yeadon, West Yorkshire","Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes",6
6,4,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio",5
6,4,"Ugnė Bubnaityte","Ugnė","IN",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes",2
6,4,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,4,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,4,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,5,"Alvin Magallanes","Alvin","IN",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8
6,5,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche",3
6,5,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Honey and Flowers Cake","Dessert Island",5
6,5,"Mat Riley","Mat","IN",37,"Fire fighter","London","Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll",4
6,5,"Nadiya Hussain","Nadiya","STAR BAKER",30,"Full-time mother","Leeds / Luton","Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll",1
6,5,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Carrot & Pecan Cake","Dessert Island Getaway",2
6,5,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll",7
6,5,"Ugnė Bubnaityte","Ugnė","OUT",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll",6
6,5,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,5,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,5,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,5,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,6,"Alvin Magallanes","Alvin","OUT",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6
6,6,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents",2
6,6,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer",3
6,6,"Mat Riley","Mat","STAR BAKER",37,"Fire fighter","London","Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents",1
6,6,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents",4
6,6,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Christmas Frangipane Tart","Savoury and Sweet Bouchées",5
6,6,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents",7
6,6,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,6,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,6,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,6,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,6,NA,"Ugnė",NA,NA,NA,NA,NA,NA,NA
6,7,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe",4
6,7,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Roadkill Pie","Victoria's Crown Charlotte Russe",5
6,7,"Mat Riley","Mat","OUT",37,"Fire fighter","London","Raised Venison and Pigeon Pie","Strawberry Charlotte Russe",6
6,7,"Nadiya Hussain","Nadiya","IN",30,"Full-time mother","Leeds / Luton","Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe",1
6,7,"Paul Jagger","Paul","IN",49,"Prison governor","Swansea, Wales","Not a Boaring Pie","Charlotte Rose",2
6,7,"Tamal Ray","Tamal","STAR BAKER",29,"Trainee anaesthetist","Manchester","Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",3
6,7,NA,"Alvin",NA,NA,NA,NA,NA,NA,NA
6,7,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,7,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,7,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,7,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,7,NA,"Ugnė",NA,NA,NA,NA,NA,NA,NA
6,8,"Flora Shedden","Flora","IN",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne",3
6,8,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions",2
6,8,"Nadiya Hussain","Nadiya","STAR BAKER",30,"Full-time mother","Leeds / Luton","Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne",1
6,8,"Paul Jagger","Paul","OUT",49,"Prison governor","Swansea, Wales","Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne",5
6,8,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne",4
6,8,NA,"Alvin",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Dorret",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Marie",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Mat",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Sandy",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Stu",NA,NA,NA,NA,NA,NA,NA
6,8,NA,"Ugnė",NA,NA,NA,NA,NA,NA,NA
6,9,"Flora Shedden","Flora","OUT",19,"Art gallery assistant","Dunkeld, Perth and Kinross","Passion Fruit and Chocolate Tart","Cocoa Carousel",1
6,9,"Ian Cumming","Ian","IN",41,"Travel photographer","Great Wilbraham, Cambridgeshire","Chocolate and Bay Tart","Chocolate Well",3
6,9,"Nadiya Hussain","Nadiya","STAR BAKER",30,"Full-time mother","Leeds / Luton","Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door",4
6,9,"Tamal Ray","Tamal","IN",29,"Trainee anaesthetist","Manchester","Chocolate New York Pie","Chocolate Bell Tower",2
6,9,NA,"Alvin",NA,NA,NA,NA,NA,NA,NA
